Rank,Name,Team,Gs,MPG,FGM,FGA,FG%,FTM,FTA,FT%,3PM,REB,AST,STL,BLK,TOV,PTS
1,James Harden,HOU,68,36.5,9.9012,22.3,0.444,10.207,11.8,0.865,4.4,6.6,7.5,1.8,0.9,4.5,34.3
2,Anthony Davis,LAL,62,34.4,8.9031,17.7,0.503,7.191,8.5,0.846,1.2,9.3,3.2,1.5,2.3,2.5,26.1
3,Damian Lillard,POR,67,37.6,9.4248,20.4,0.462,7.0389,7.9,0.891,4.1,4.3,8.1,1.1,0.3,2.9,30
4,Kawhi Leonard,LAC,57,32.4,9.353,19.9,0.47,6.2906,7.1,0.886,2.2,7.1,4.9,1.8,0.6,2.6,27.1
5,Karl-Anthony Towns,MIN,35,33.9,9.0424,17.8,0.508,5.174,6.5,0.796,3.3,10.8,4.4,0.9,1.2,3.1,26.5
6,Kyrie Irving,BKN,20,32.9,9.9424,20.8,0.478,4.7022,5.1,0.922,2.8,5.2,6.4,1.4,0.5,2.6,27.4
7,John Collins,ATL,41,33.2,8.6284,14.8,0.583,2.96,3.7,0.8,1.4,10.1,1.5,0.8,1.6,1.8,21.6
8,Jusuf Nurkic,POR,9,32.6,6.9048,13.7,0.504,3.8955,4.9,0.795,0.4,11.4,4.2,1.4,2,2.7,18.1
9,Hassan Whiteside,POR,68,29.7,6.4376,10.4,0.619,2.401,3.5,0.686,0.1,13.4,1.1,0.4,2.9,1.8,15.4
10,Nikola Jokic,DEN,73,32,7.7616,14.7,0.528,3.3497,4.1,0.817,1.1,9.7,7,1.2,0.6,3.1,19.9
11,Bradley Beal,WAS,57,36,10.4195,22.9,0.455,6.744,8,0.843,3,4.2,6.1,1.3,0.4,3.4,30.6
12,Jimmy Butler,MIA,58,33.8,5.9605,13.1,0.455,7.5894,9.1,0.834,0.5,6.7,6,1.8,0.6,2.2,19.9
13,Jayson Tatum,BOS,66,34.3,8.37,18.6,0.45,3.8164,4.7,0.812,2.9,7,3,1.4,0.9,2.3,23.4
