Rank,Name,Gs,MPG,FGA,FGM,FG%,FTA,FTM,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS
1,Giannis Antetokounmpo,67,33.3,19.7,10.91,.554,10,6.85,.685,1.2,13.0,5.4,1.50,1.2,1.3,3.6,29.3
2,Nikola Jokic,68,34.1,14.7,7.63,.519,4.1,3.42,.834,1.3,11.2,7.7,2.40,1.3,0.8,3.2,23.5
3,Luka Doncic,66,35.6,20.6,9.6,.466,9.2,7.1,.772,3.2,9.5,8.2,1.95,1.2,0.3,4.2,30.4
4,James Harden,67,34.6,22.3,9.79,.439,11.8,10.24,.868,3.8,6.0,7.2,1.63,1.7,0.8,4.4,30.3
5,Karl-Anthony Towns,67,34.6,17.8,9.26,.520,6.5,5.36,.824,2.5,12.1,3.6,1.24,0.9,1.5,2.9,26.2
6,Anthony Davis,61,34.4,17.7,9.17,.518,8.5,7.04,.828,1.0,10.5,3.2,1.39,1.5,2.5,2.3,26.7
7,Damian Lillard,65,36.6,20.4,9.26,.454,7.9,7.05,.892,4.0,4.3,7.6,2.61,1.0,0.3,2.9,30.5
8,LeBron James,63,33.5,19.4,9.89,.510,5.7,3.97,.696,2.0,7.7,9.2,2.49,1.2,0.6,3.7,25.0
9,Kevin Durant,64,33.9,5.0,2.61,.522,4.0,3.54,.885,2.0,6.7,5.5,1.97,0.8,1.3,2.8,25.6
10,Stephen Curry,62,32.9,16.4,7.9,.482,5.2,4.78,.920,4.6,5.2,5.7,1.96,1.5,0.3,2.9,26.9
11,Trae Young,64,35.3,20.8,9.19,.442,9.3,8.1,.871,3.3,4.3,9.2,1.96,1.1,0.1,4.7,29.1
12,Ben Simmons,64,35.1,11.4,6.49,.569,5.2,3.15,.606,0.0,8.3,8.6,2.46,1.8,0.9,3.5,18.0
13,Jayson Tatum,64,35.5,18.6,8.43,.453,4.7,3.85,.819,3.1,7.1,3.7,1.68,1.5,1.0,2.2,26.6
14,Russell Westbrook,63,33.7,22.5,10.4,.462,6.7,5.04,.752,1.1,8.2,8.5,2.02,1.6,0.3,4.2,24.8
15,Joel Embiid,62,32.4,15.7,7.52,.479,8.5,6.83,.803,1.2,12.6,3.4,1.00,0.8,1.9,3.4,25.5
16,Devin Booker,66,35.7,18.3,8.82,.482,7.3,6.48,.888,2.5,4.2,6.4,1.60,0.9,0.3,4.0,29.3
17,Bradley Beal,67,34.6,22.9,10.85,.474,8,6.69,.836,2.8,4.2,4.7,1.51,1.2,0.4,3.1,28.7
18,Pascal Siakam,66,35.8,18.4,8.7,.473,5.1,4.03,.790,1.9,8.2,3.5,1.46,1.1,1.0,2.4,25.2
19,Shai Gilgeous-Alexander,64,37.0,14.5,6.9,.476,5.1,4.15,.813,1.6,6.2,5.7,2.85,1.2,0.8,2.0,22.8
20,Jimmy Butler,66,34.4,13.1,6.12,.467,9.1,7.71,.847,1.1,6.0,5.2,2.74,1.8,0.5,1.9,21.2
21,Andre Drummond,67,32.4,13.8,7.34,.532,5.2,3.04,.585,0.1,15.1,2.2,0.78,1.4,1.6,2.8,16.6
22,Kyrie Irving,60,32.8,20.8,10.09,.485,5.1,4.55,.893,2.7,4.8,6.4,2.56,1.4,0.3,2.5,24.9
23,Kawhi Leonard,58,33.1,19.9,9.49,.477,7.1,6.21,.874,2.0,7.4,4.3,1.72,1.8,0.5,2.5,26.8
24,Jrue Holiday,65,35.5,16.5,7.69,.466,3,2.23,.742,1.9,4.8,6.8,2.34,1.6,0.8,2.9,20.0
25,Zion Williamson,61,32.6,15,8.73,.582,7.4,5.02,.678,0.5,8.7,2.4,0.82,1.2,0.9,2.9,28.0
26,Paul George,64,33.8,16.3,7.09,.435,4.5,3.82,.850,3.4,6.7,3.8,1.40,1.8,0.5,2.7,24.1
27,Brandon Ingram,65,34.2,17.7,8.37,.473,5.9,4.93,.835,2.6,6.1,4.2,1.40,0.9,0.7,3.0,26.4
28,Deandre Ayton,64,32.9,14.9,8.58,.576,2.3,1.76,.767,0.0,11.4,1.9,0.91,0.8,1.3,2.1,21.5
29,Ja Morant,65,33.7,14.2,6.93,.488,4.6,3.65,.793,1.3,4.0,8.1,2.25,1.0,0.3,3.6,23.2
30,Nikola Vucevic,62,31.7,16.7,8.17,.489,2.7,2.13,.788,1.3,11.2,3.7,2.18,0.9,1.0,1.7,19.6
31,Bam Adebayo,68,32.1,11,6.26,.569,5.3,3.86,.729,0.0,9.8,4.0,1.67,1.1,1.2,2.4,16.4
32,Donovan Mitchell,68,34.0,19.4,8.63,.445,4.7,3.91,.832,2.7,4.2,4.1,1.52,1.2,0.3,2.7,26.3
33,Tobias Harris,69,34.7,16.3,7.89,.484,3,2.51,.838,2.4,7.0,2.9,1.82,0.7,0.5,1.6,22.4
34,DeMar DeRozan,68,34.4,15.4,7.67,.498,6.6,5.52,.836,0.3,5.5,5.7,2.38,1.0,0.3,2.4,22.1
35,Rudy Gobert,64,33.3,8.2,5.57,.679,5.9,3.73,.633,0.0,13.1,1.7,0.95,0.8,2.2,1.8,15.2
36,D'Angelo Russell,62,33.4,18.8,8.29,.441,4.4,3.63,.824,3.4,4.3,7.1,2.03,1.2,0.3,3.5,24.0
37,Jamal Murray,65,34.8,15.2,6.96,.458,3.1,2.73,.882,2.4,4.3,4.9,2.13,1.1,0.3,2.3,24.1
38,Chris Paul,62,32.4,12.7,5.91,.465,4,3.57,.893,1.9,5.0,7.4,3.21,1.7,0.2,2.3,17.5
39,Khris Middleton,64,33.1,15.3,7.34,.480,3.7,3.29,.888,2.8,6.4,3.7,1.61,1.1,0.1,2.3,23.8
40,Kyle Lowry,65,33.7,13.8,5.77,.418,5.9,5.06,.857,2.7,4.8,7.6,2.81,1.3,0.4,2.7,16.6
41,Jusuf Nurkic,61,31.4,13.7,6.93,.506,4.9,3.65,.744,0.0,11.6,3.3,1.22,1.1,1.6,2.7,17.6
42,Fred VanVleet,65,34.3,14.3,5.86,.410,3.7,3.12,.842,2.6,3.6,6.3,2.99,1.7,0.3,2.1,17.9
43,Domantas Sabonis,60,34.7,13.7,7.45,.544,4.8,3.47,.722,0.3,12.5,4.8,1.71,0.8,0.5,2.8,18.3
44,T.J. Warren,64,35.1,14.9,7.66,.514,3,2.4,.800,1.6,4.5,1.6,1.23,1.2,0.6,1.3,23.5
45,Kelly Oubre Jr.,65,35.4,14.8,6.65,.449,4.4,3.44,.781,2.4,6.5,1.6,1.00,1.3,0.8,1.6,21.9
46,John Collins,62,31.7,14.8,8.47,.572,3.7,2.89,.781,1.1,8.8,1.8,0.95,0.6,1.2,1.9,19.5
