Rank,Name,Gs,MPG,FGA,FGM,FG%,FTA,FTM,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS,Taken,Rank_zscore,Gs_zscore,MPG_zscore,FGA_zscore,FGM_zscore,FG%_zscore,FTA_zscore,FTM_zscore,FT%_zscore,3PM_zscore,REB_zscore,AST_zscore,ATO_zscore,STL_zscore,BLK_zscore,TOV_zscore,PTS_zscore,SUM_zscore
1,Giannis Antetokounmpo,67,33.3,19.7,10.91,0.5539999999999999,10.0,6.85,0.685,1.2,13.0,5.4,1.5,1.2,1.3,3.6,29.3,True,-1.7251364054850504,1.0680545642838806,1.0429735463963434,2.0853812306426764,2.865829075560396,1.300981476053498,3.6311274439391954,2.8552159799698584,-1.1348981480627756,-0.29472448816667063,3.0403046423994713,1.1596466397818188,-0.30839808559296616,0.7728750719146081,1.322022760519287,2.3285759850872774,2.5633334570395068,6.400965426391466
2,Nikola Jokic,68,34.1,14.7,7.63,0.519,4.1,3.42,0.8340000000000001,1.3,11.2,7.7,2.4,1.3,0.8,3.2,23.5,True,-1.7112798881719176,1.3573434495178678,1.2189879833883863,0.9480659870548293,1.286286782475809,0.7243637111123525,0.6262391024836785,0.7268842378855078,0.747251178117643,-0.18621031726583454,2.308758770792284,2.3194949923206005,0.9188670233284594,1.0638671923643856,0.3229124517834293,1.8195976276911514,1.5454412174921193,7.026281569025829
3,Luka Doncic,66,35.6,20.6,9.6,0.466,9.2,7.1,0.772,3.2,9.5,8.2,1.95,1.2,0.3,4.2,30.4,True,-1.6974233708587847,0.7787656790498935,1.5490150527484652,2.2900979744884893,2.2349752938711247,-0.14880033294138365,3.2236849569621757,3.010342200238397,-0.03592505156816939,1.8755589298500495,1.617854336496607,2.571635938524683,0.30523446886774663,0.7728750719146081,-0.6761978569524283,3.0920435211814667,2.756381985229528,5.6413394993720285
4,James Harden,67,34.6,22.3,9.79,0.439,11.8,10.24,0.868,3.8,6.0,7.2,1.63,1.7,0.8,4.4,30.3,True,-1.6835668535456518,1.0680545642838806,1.3289970065084127,2.676785157308357,2.326473170604683,-0.5936197516102686,4.547873039637489,4.958727526811243,1.1767349169776031,2.526643955255065,0.19540403059374256,2.067354046116517,-0.13112645874876036,2.227835674163494,0.3229124517834293,3.34653269987953,2.7388321190304357,7.315564742430485
5,Karl-Anthony Towns,67,34.6,17.8,9.26,0.52,6.5,5.36,0.8240000000000001,2.5,12.1,3.6,1.24,0.9,1.5,2.9,26.2,True,-1.6697103362325187,1.0680545642838806,1.3289970065084127,1.6532014380792948,2.0712422512952835,0.7408385043963853,1.8485665634147366,1.9306637071693682,0.6209324313941248,1.1159597335441973,2.674531706595878,0.25193923344711994,-0.662941339281378,-0.10010128943472332,1.7216668840136298,1.4378638596440565,2.019287604867627,7.607190949180182
6,Anthony Davis,61,34.4,17.7,9.17,0.518,8.5,7.04,0.828,1.0,10.5,3.2,1.39,1.5,2.5,2.3,26.7,True,-1.6558538189193859,-0.6676787471200423,1.2849933972604015,1.6304551332075374,2.027901151789914,0.7078889178283198,2.867172780857284,2.9731119073739474,0.6714599300835307,-0.5117528299683425,2.0242687096117113,0.050226476483853616,-0.45839715446114054,1.64585143326394,3.719887501485345,0.6743963235498671,2.1070369358630914,9.740470751101583
7,Damian Lillard,65,36.6,20.4,9.26,0.45399999999999996,7.9,7.05,0.892,4.0,4.3,7.6,2.61,1.0,0.3,2.9,30.5,True,-1.641997301606253,0.4894767938159063,1.7690330989885177,2.2446053647449746,2.0712422512952835,-0.34649785234977787,2.56159091562452,2.979316956184689,1.4798999091140466,2.743672297056737,-0.49550040370193454,2.2690668030797836,1.205228882076792,0.19089083101505383,-0.6761978569524283,1.4378638596440565,2.773931851428621,6.501401719046045
8,LeBron James,63,33.5,19.4,9.89,0.51,5.7,3.97,0.696,2.0,7.7,9.2,2.49,1.2,0.6,3.7,25.0,True,-1.62814078429312,-0.08910097665206798,1.0869771556443546,2.0171423160274053,2.3746299478328723,0.5760905715560576,1.4411240764377173,1.068161922476293,-0.9959475266669071,0.5733888790400173,0.8863084648894196,3.0759178309328488,1.0415935342206024,0.7728750719146081,-0.07673167171091384,2.455820574436309,1.8086892104785126,4.164770255997334
9,Kevin Durant,64,33.9,5.0,2.61,0.522,4.0,3.54,0.885,2.0,6.7,5.5,1.97,0.8,1.3,2.8,25.6,True,-1.614284266979987,0.20018790858191915,1.1749843741403752,-1.2583255855055941,-1.1311834343792595,0.7737880909644509,0.5753087916115514,0.8013448236144064,1.3914767864075839,0.5733888790400173,0.4798940917743155,1.210074829022635,0.33250702684377836,-0.3910934098845005,1.322022760519287,1.3106192702950248,1.9139884076730702,5.962921165221834
10,Stephen Curry,62,32.9,16.4,7.9,0.48200000000000004,5.2,4.78,0.92,4.6,5.2,5.7,1.96,1.5,0.3,2.9,26.9,True,-1.6004277496668542,-0.3783898618860551,0.9549663279003228,1.334753169874697,1.4163100809919185,0.11479635960314077,1.1864725220770802,1.5707708761463584,1.8335923999398973,3.3947573224617527,-0.12972746789834066,1.3109312075042685,0.31887074785576247,1.64585143326394,-0.6761978569524283,1.4378638596440565,2.1421366682612772,8.19827620653945
