Rank,Name,Gs,MPG,FG%,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS
1,Giannis Antetokounmpo,67,33.3,.554,.685,1.2,13.0,5.4,1.50,1.2,1.3,3.6,29.3
2,Nikola Jokic,68,34.1,.519,.834,1.3,11.2,7.7,2.40,1.3,0.8,3.2,23.5
3,Luka Doncic,66,35.6,.466,.772,3.2,9.5,8.2,1.95,1.2,0.3,4.2,30.4
4,James Harden,67,34.6,.439,.868,3.8,6.0,7.2,1.63,1.7,0.8,4.4,30.3
5,Karl-Anthony Towns,67,34.6,.520,.824,2.5,12.1,3.6,1.24,0.9,1.5,2.9,26.2
6,Anthony Davis,61,34.4,.518,.828,1.0,10.5,3.2,1.39,1.5,2.5,2.3,26.7
7,Damian Lillard,65,36.6,.454,.892,4.0,4.3,7.6,2.61,1.0,0.3,2.9,30.5
8,LeBron James,63,33.5,.510,.696,2.0,7.7,9.2,2.49,1.2,0.6,3.7,25.0
9,Kevin Durant,64,33.9,.522,.885,2.0,6.7,5.5,1.97,0.8,1.3,2.8,25.6
10,Stephen Curry,62,32.9,.482,.920,4.6,5.2,5.7,1.96,1.5,0.3,2.9,26.9
11,Trae Young,64,35.3,.442,.871,3.3,4.3,9.2,1.96,1.1,0.1,4.7,29.1
12,Ben Simmons,64,35.1,.569,.606,0.0,8.3,8.6,2.46,1.8,0.9,3.5,18.0
13,Jayson Tatum,64,35.5,.453,.819,3.1,7.1,3.7,1.68,1.5,1.0,2.2,26.6
14,Russell Westbrook,63,33.7,.462,.752,1.1,8.2,8.5,2.02,1.6,0.3,4.2,24.8
15,Joel Embiid,62,32.4,.479,.803,1.2,12.6,3.4,1.00,0.8,1.9,3.4,25.5
16,Devin Booker,66,35.7,.482,.888,2.5,4.2,6.4,1.60,0.9,0.3,4.0,29.3
17,Bradley Beal,67,34.6,.474,.836,2.8,4.2,4.7,1.51,1.2,0.4,3.1,28.7
18,Pascal Siakam,66,35.8,.473,.790,1.9,8.2,3.5,1.46,1.1,1.0,2.4,25.2
19,Shai Gilgeous-Alexander,64,37.0,.476,.813,1.6,6.2,5.7,2.85,1.2,0.8,2.0,22.8
20,Jimmy Butler,66,34.4,.467,.847,1.1,6.0,5.2,2.74,1.8,0.5,1.9,21.2
21,Andre Drummond,67,32.4,.532,.585,0.1,15.1,2.2,0.78,1.4,1.6,2.8,16.6
22,Kyrie Irving,60,32.8,.485,.893,2.7,4.8,6.4,2.56,1.4,0.3,2.5,24.9
23,Kawhi Leonard,58,33.1,.477,.874,2.0,7.4,4.3,1.72,1.8,0.5,2.5,26.8
24,Jrue Holiday,65,35.5,.466,.742,1.9,4.8,6.8,2.34,1.6,0.8,2.9,20.0
25,Zion Williamson,61,32.6,.582,.678,0.5,8.7,2.4,0.82,1.2,0.9,2.9,28.0
26,Paul George,64,33.8,.435,.850,3.4,6.7,3.8,1.40,1.8,0.5,2.7,24.1
27,Brandon Ingram,65,34.2,.473,.835,2.6,6.1,4.2,1.40,0.9,0.7,3.0,26.4
28,Deandre Ayton,64,32.9,.576,.767,0.0,11.4,1.9,0.91,0.8,1.3,2.1,21.5
29,Ja Morant,65,33.7,.488,.793,1.3,4.0,8.1,2.25,1.0,0.3,3.6,23.2
30,Nikola Vucevic,62,31.7,.489,.788,1.3,11.2,3.7,2.18,0.9,1.0,1.7,19.6
31,Bam Adebayo,68,32.1,.569,.729,0.0,9.8,4.0,1.67,1.1,1.2,2.4,16.4
32,Donovan Mitchell,68,34.0,.445,.832,2.7,4.2,4.1,1.52,1.2,0.3,2.7,26.3
33,Tobias Harris,69,34.7,.484,.838,2.4,7.0,2.9,1.82,0.7,0.5,1.6,22.4
34,DeMar DeRozan,68,34.4,.498,.836,0.3,5.5,5.7,2.38,1.0,0.3,2.4,22.1
35,Rudy Gobert,64,33.3,.679,.633,0.0,13.1,1.7,0.95,0.8,2.2,1.8,15.2
36,D'Angelo Russell,62,33.4,.441,.824,3.4,4.3,7.1,2.03,1.2,0.3,3.5,24.0
37,Jamal Murray,65,34.8,.458,.882,2.4,4.3,4.9,2.13,1.1,0.3,2.3,24.1
38,Chris Paul,62,32.4,.465,.893,1.9,5.0,7.4,3.21,1.7,0.2,2.3,17.5
39,Khris Middleton,64,33.1,.480,.888,2.8,6.4,3.7,1.61,1.1,0.1,2.3,23.8
40,Kyle Lowry,65,33.7,.418,.857,2.7,4.8,7.6,2.81,1.3,0.4,2.7,16.6
41,Jusuf Nurkic,61,31.4,.506,.744,0.0,11.6,3.3,1.22,1.1,1.6,2.7,17.6
42,Fred VanVleet,65,34.3,.410,.842,2.6,3.6,6.3,2.99,1.7,0.3,2.1,17.9
43,Domantas Sabonis,60,34.7,.544,.722,0.3,12.5,4.8,1.71,0.8,0.5,2.8,18.3
44,T.J. Warren,64,35.1,.514,.800,1.6,4.5,1.6,1.23,1.2,0.6,1.3,23.5
45,Kelly Oubre Jr.,65,35.4,.449,.781,2.4,6.5,1.6,1.00,1.3,0.8,1.6,21.9
46,John Collins,62,31.7,.572,.781,1.1,8.8,1.8,0.95,0.6,1.2,1.9,19.5
47,De'Aaron Fox,63,34.3,.475,.740,1.2,4.2,7.3,2.21,1.6,0.5,3.3,21.5
48,CJ McCollum,66,35.4,.453,.790,2.6,4.0,3.7,2.05,0.8,0.5,1.8,21.8
49,Zach LaVine,60,34.6,.451,.807,2.9,4.8,4.3,1.26,1.4,0.5,3.4,25.0
50,Mitchell Robinson,64,26.2,.722,.584,0.0,8.1,0.7,1.00,1.0,2.6,0.7,10.4
51,Gordon Hayward,60,34.5,.489,.837,1.9,6.4,4.3,2.26,0.9,0.4,1.9,21.1
52,Kristaps Porzingis,54,33.9,.427,.780,2.5,9.4,1.7,0.95,0.8,2.3,1.8,21.8
53,Malcolm Brogdon,61,35.0,.448,.899,1.5,5.3,7.4,2.84,0.8,0.2,2.6,18.6
54,Robert Covington,67,32.4,.431,.805,2.7,6.7,1.3,0.81,1.7,1.3,1.6,14.8
55,Draymond Green,64,32.4,.441,.742,1.0,7.4,7.1,2.62,1.5,1.0,2.7,9.3
56,Steven Adams,68,31.1,.600,.550,0.0,9.6,2.0,1.25,1.2,1.1,1.6,12.8
57,Jonas Valanciunas,63,27.5,.579,.744,0.5,11.6,1.8,1.00,0.4,1.2,1.8,15.7
58,Hassan Whiteside,62,25.4,.593,.611,0.0,11.8,1.0,0.63,0.5,2.3,1.6,13.4
59,John Wall,57,31.2,.439,.738,1.3,3.4,8.5,2.43,1.4,0.8,3.5,18.7
60,Clint Capela,64,30.8,.641,.586,0.0,9.5,1.2,0.86,0.7,1.7,1.4,14.4
61,Christian Wood,63,30.2,.558,.751,1.2,9.0,1.4,0.73,0.7,1.2,1.9,18.3
62,Montrezl Harrell,68,26.3,.598,.649,0.0,6.6,1.7,1.06,0.7,1.2,1.6,17.2
63,Dennis Schroder,68,30.4,.445,.835,1.7,3.6,6.0,2.50,0.8,0.2,2.4,17.9
64,Al Horford,65,30.7,.477,.780,1.3,7.0,4.2,3.00,0.8,1.1,1.4,12.8
65,Delon Wright,65,31.2,.455,.793,1.3,5.2,4.7,3.12,1.6,0.5,1.5,13.9
66,Devonte' Graham,65,33.6,.390,.816,3.2,3.3,7.2,2.66,0.9,0.2,2.7,17.4
67,LaMarcus Aldridge,61,30.5,.508,.840,0.6,7.6,2.2,1.58,0.5,1.3,1.4,18.8
68,Lonzo Ball,62,32.9,.412,.538,2.2,6.2,6.8,2.43,1.5,0.6,2.8,11.9
69,Jerami Grant,67,33.7,.488,.715,1.7,7.0,1.3,1.30,0.8,1.2,1.0,15.7
70,Victor Oladipo,60,31.3,.438,.768,1.9,4.8,4.3,1.72,1.7,0.5,2.5,19.1
71,Julius Randle,63,33.1,.473,.726,1.0,9.8,3.2,1.04,0.8,0.4,3.1,20.3
72,Mike Conley,59,31.5,.422,.827,2.3,3.3,6.2,3.27,1.1,0.2,1.9,19.3
73,Eric Bledsoe,63,28.4,.481,.789,1.4,4.5,5.3,2.21,1.3,0.4,2.4,15.9
74,LaMelo Ball,66,29.9,.418,.728,2.1,4.0,6.3,2.25,1.1,0.4,2.8,15.7
75,Lou Williams,66,29.0,.423,.871,1.8,2.9,5.5,2.04,0.8,0.2,2.7,19.8
76,Ricky Rubio,63,30.2,.412,.850,1.2,4.3,7.4,2.74,1.5,0.2,2.7,13.0
77,Josh Richardson,66,33.4,.426,.831,2.1,3.6,3.5,1.94,1.1,0.7,1.8,16.8
78,Michael Porter Jr.,62,27.6,.490,.797,2.2,7.2,1.5,1.00,0.8,0.8,1.5,17.4
79,Tyrese Haliburton,66,28.7,.440,.830,1.8,4.9,5.4,2.16,1.4,0.4,2.5,12.3
